Rk,Player,Age,Team,Pos,G,GS,MP▼,FG,Dist.,2P,0-3,3-10,10-16,16-3P,3P,0-3,3-10,10-16,16-3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
167,Christian Braun,22,DEN,SG,82,4,1655,222,11.4,0.66,0.342,0.263,0.025,0.031,0.34,0.667,0.339,0.083,0.333,0.692,0.937,0.068,30,0.341,0.304,1,0,483,0.46,63,164,0.384,159,319,0.498,0.525,93,134,0.694,79,227,306,132,42,35,55,137,600,0,,braunch01
168,Simone Fontecchio,28,2TM,SF,66,43,1644,252,16.8,0.391,0.17,0.177,0.033,0.011,0.609,0.656,0.474,0.389,0.667,0.729,0.978,0.049,21,0.434,0.428,0,0,548,0.46,134,334,0.401,118,214,0.551,0.582,54,66,0.818,64,182,246,101,44,23,68,110,692,0,,fontesi01
169,Ochai Agbaji,23,2TM,SG,78,28,1641,178,13.7,0.513,0.289,0.176,0.037,0.012,0.487,0.664,0.329,0.438,0.2,0.75,0.984,0.085,31,0.455,0.365,1,0,433,0.411,62,211,0.294,116,222,0.523,0.483,37,56,0.661,74,142,216,83,47,44,64,117,455,0,,agbajoc01
170,Julius Randle,29,NYK,PF,46,46,1630,395,11.7,0.708,0.266,0.291,0.115,0.037,0.292,0.689,0.469,0.406,0.419,0.423,0.868,0.032,24,0.148,0.528,0,0,836,0.472,76,244,0.311,319,592,0.539,0.518,236,302,0.781,99,324,423,229,25,12,159,125,1102,1,AS,randlju01
171,Precious Achiuwa,24,2TM,PF,74,18,1624,235,8,0.793,0.52,0.215,0.047,0.011,0.207,0.697,0.317,0.273,0.2,0.593,0.962,0.145,62,0.474,0.304,0,0,469,0.501,26,97,0.268,209,372,0.562,0.529,69,112,0.616,191,296,487,97,46,68,83,143,565,0,,achiupr01
172,Santi Aldama,23,MEM,PF,61,35,1618,247,15.8,0.465,0.211,0.188,0.049,0.016,0.535,0.692,0.411,0.393,0.333,0.674,0.962,0.067,34,0.296,0.3,0,0,568,0.435,106,304,0.349,141,264,0.534,0.528,54,87,0.621,72,280,352,138,43,54,69,89,654,0,,aldamsa01
173,Cameron Johnson,27,BRK,PF,58,47,1599,276,17.5,0.43,0.17,0.126,0.073,0.061,0.57,0.724,0.41,0.378,0.342,0.601,0.957,0.034,18,0.331,0.462,1,0,619,0.446,138,353,0.391,138,266,0.519,0.557,86,109,0.789,55,196,251,138,49,15,57,105,776,0,,johnsca02
174,Malaki Branham,20,SAS,PG,75,29,1594,271,15.1,0.573,0.186,0.189,0.134,0.064,0.427,0.744,0.328,0.5,0.25,0.657,0.968,0.019,12,0.272,0.384,0,0,628,0.432,93,268,0.347,178,360,0.494,0.506,55,63,0.873,28,120,148,156,27,8,91,94,690,0,,branhma01
175,Paul Reed,24,PHI,C,82,24,1590,259,7.1,0.881,0.473,0.265,0.094,0.05,0.119,0.674,0.394,0.511,0.5,0.643,0.857,0.106,45,0.298,0.294,0,0,480,0.54,21,57,0.368,238,423,0.563,0.561,61,85,0.718,193,295,488,109,67,84,67,198,600,0,,reedpa01
176,Ausar Thompson,21,DET,SF,63,38,1583,232,9.8,0.765,0.377,0.283,0.05,0.054,0.235,0.652,0.544,0.458,0.308,0.673,0.952,0.183,79,0.575,0.231,4,0,480,0.483,21,113,0.186,211,367,0.575,0.505,71,119,0.597,129,273,402,120,68,59,84,175,556,0,,thompau01
177,Anfernee Simons,24,POR,SG,46,46,1582,360,17.1,0.516,0.14,0.183,0.105,0.088,0.484,0.658,0.392,0.477,0.338,0.162,0.622,0.018,14,0.077,0.29,0,0,837,0.43,156,405,0.385,204,432,0.472,0.523,163,178,0.916,22,145,167,255,23,5,126,98,1039,0,,simonan01
178,Kevin Huerter,25,SAC,SG,64,59,1562,248,18.2,0.391,0.146,0.152,0.075,0.018,0.609,0.732,0.553,0.381,0.2,0.808,0.951,0.02,9,0.173,0.424,0,0,560,0.443,123,341,0.361,125,219,0.571,0.553,36,47,0.766,38,186,224,166,45,23,53,135,655,0,,huertke01
179,Bennedict Mathurin,21,IND,SF,59,19,1538,296,12.4,0.677,0.275,0.253,0.089,0.06,0.323,0.582,0.393,0.458,0.425,0.583,0.75,0.03,17,0.107,0.435,0,0,663,0.446,80,214,0.374,216,449,0.481,0.507,184,224,0.821,60,174,234,119,35,14,97,117,856,0,,mathube01
180,Evan Mobley,22,CLE,PF,50,50,1532,320,6.5,0.893,0.464,0.337,0.065,0.027,0.107,0.77,0.462,0.361,0.133,0.725,1,0.239,129,0.424,0.36,0,0,552,0.58,22,59,0.373,298,493,0.604,0.6,123,171,0.719,111,357,468,160,45,72,90,134,785,0,,mobleev01
181,Chris Paul,38,GSW,PG,58,18,1531,206,19,0.55,0.021,0.109,0.233,0.186,0.45,0.8,0.608,0.514,0.379,0.164,0.679,0,0,0.176,0.243,4,0,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,0,,paulch01
182,Russell Westbrook,35,LAC,PG,68,11,1529,301,9.6,0.768,0.385,0.27,0.074,0.039,0.232,0.655,0.363,0.367,0.346,0.378,0.857,0.075,38,0.403,0.29,0,0,663,0.454,42,154,0.273,259,509,0.509,0.486,110,160,0.688,93,250,343,306,74,23,144,121,754,1,6MOY-7,westbru01
183,Nicolas Batum,35,2TM,PF,60,38,1529,116,20.5,0.277,0.191,0.043,0.027,0.016,0.723,0.653,0.636,0.429,0.25,0.628,1,0.035,9,0.535,0.434,1,0,256,0.453,73,185,0.395,43,71,0.606,0.596,15,21,0.714,70,178,248,128,48,38,40,109,320,0,,batumni01
184,Zach Collins,26,SAS,C,69,29,1526,298,11.5,0.706,0.266,0.313,0.088,0.039,0.294,0.726,0.472,0.463,0.208,0.713,1,0.042,25,0.099,0.333,0,0,616,0.484,58,181,0.32,240,435,0.552,0.531,122,162,0.753,118,252,370,194,34,52,132,206,776,0,,colliza01
185,Josh Green,23,DAL,SG,57,33,1505,179,14.5,0.5,0.265,0.158,0.045,0.032,0.5,0.768,0.339,0.294,0.5,0.748,0.958,0.091,31,0.626,0.385,0,0,374,0.479,72,187,0.385,107,187,0.572,0.575,39,57,0.684,40,144,184,130,47,9,60,107,469,0,,greenjo02
186,Walker Kessler,22,UTA,C,64,22,1493,229,3.4,0.946,0.68,0.257,0.003,0.006,0.054,0.752,0.511,0,0,0.742,1,0.363,124,1,0.211,0,0,350,0.654,4,19,0.211,225,331,0.68,0.66,56,93,0.602,165,316,481,60,30,154,66,132,518,0,,kesslwa01
187,Draymond Green,33,GSW,PF,55,52,1490,185,11.6,0.653,0.293,0.296,0.056,0.008,0.347,0.67,0.5,0.143,1,0.769,0.941,0.022,7,0.31,0.425,0,0,372,0.497,51,129,0.395,134,243,0.551,0.566,54,74,0.73,76,322,398,332,55,47,135,166,475,1,,greendr01
188,Peyton Watson,21,DEN,SF,80,4,1488,208,12,0.66,0.342,0.204,0.089,0.025,0.34,0.66,0.407,0.525,0.364,0.785,0.978,0.143,58,0.434,0.273,6,0,447,0.465,45,152,0.296,163,295,0.553,0.516,71,106,0.67,56,202,258,86,42,88,58,143,532,0,,watsope01
189,Khris Middleton,32,MIL,SF,55,55,1487,317,19.3,0.271,0.132,0.12,0.013,0.006,0.729,0.643,0.421,0.75,0,0.63,1,0.025,8,0.385,0.382,1,0,643,0.493,94,247,0.381,223,396,0.563,0.566,100,120,0.833,40,217,257,292,51,15,127,141,828,1,,middlkh01
190,Matisse Thybulle,26,POR,SF,65,19,1487,126,16.7,0.616,0.101,0.159,0.187,0.17,0.384,0.708,0.51,0.517,0.578,0.372,0.702,0.005,2,0.186,0.413,0,0,317,0.397,80,231,0.346,46,86,0.535,0.524,22,29,0.759,30,106,136,90,113,49,40,93,354,0,,thybuma01
191,Bojan Bogdanović,34,2TM,PF,57,27,1478,309,16.7,0.51,0.117,0.181,0.14,0.072,0.49,0.625,0.48,0.484,0.429,0.648,0.872,0.006,4,0.275,0.435,0,0,681,0.454,133,334,0.398,176,347,0.507,0.551,117,149,0.785,22,130,152,97,30,5,101,95,868,0,6MOY-9,bogdabo02
192,Julian Champagnie,22,SAS,SF,74,59,1468,164,18.4,0.311,0.194,0.09,0.012,0.015,0.689,0.641,0.306,0,0.333,0.857,0.98,0.067,19,0.329,0.363,0,0,402,0.408,101,277,0.365,63,125,0.504,0.534,75,92,0.815,42,164,206,103,48,42,57,77,504,0,,champju02
193,Patrick Beverley,35,2TM,PG,73,13,1462,158,15.4,0.522,0.153,0.293,0.066,0.011,0.478,0.672,0.441,0.32,0.25,0.361,0.852,0.003,1,0.309,0.464,0,0,379,0.417,61,181,0.337,97,198,0.49,0.497,74,90,0.822,49,190,239,212,43,31,65,128,451,0,,beverpa01
194,Amir Coffey,26,LAC,SF,70,13,1460,166,16.6,0.477,0.151,0.159,0.128,0.04,0.523,0.774,0.5,0.489,0.357,0.771,0.971,0.023,7,0.5,0.424,3,0,352,0.472,70,184,0.38,96,168,0.571,0.571,61,71,0.859,29,119,148,76,41,14,33,102,463,0,,coffeam01
195,Isaiah Joe,24,OKC,SG,78,1,1445,222,21.3,0.272,0.091,0.041,0.07,0.07,0.728,0.773,0.4,0.5,0.471,0.76,0.966,0.039,15,0.212,0.413,2,0,485,0.458,147,353,0.416,75,132,0.568,0.609,45,52,0.865,32,148,180,99,46,22,47,87,636,0,,joeis01
196,Desmond Bane,25,MEM,SG,42,42,1443,360,15.9,0.536,0.216,0.168,0.061,0.091,0.464,0.72,0.377,0.553,0.38,0.404,0.613,0.009,7,0.144,0.442,2,0,776,0.464,137,360,0.381,223,416,0.536,0.552,140,161,0.87,36,149,185,230,43,22,112,120,997,0,,banede01
197,Vince Williams Jr.,23,MEM,SG,52,33,1436,169,15.7,0.449,0.245,0.142,0.045,0.016,0.551,0.667,0.407,0.353,0,0.511,0.924,0.024,9,0.335,0.343,0,0,379,0.446,79,209,0.378,90,170,0.529,0.55,104,130,0.8,59,231,290,175,47,34,92,135,521,0,,willivi01
198,Isaiah Stewart,22,DET,PF,46,45,1423,186,13.5,0.542,0.301,0.212,0.018,0.01,0.458,0.635,0.519,0.429,0.25,0.723,1,0.071,21,0.349,0.361,0,0,382,0.487,67,175,0.383,119,207,0.575,0.575,64,85,0.753,74,231,305,73,17,38,66,99,503,0,,stewais01
199,Moritz Wagner,26,ORL,C,80,1,1415,332,7.6,0.792,0.504,0.272,0.005,0.009,0.208,0.799,0.46,0.333,0.4,0.796,0.974,0.091,48,0.322,0.324,1,0,552,0.601,38,115,0.33,294,437,0.673,0.636,166,204,0.814,117,230,347,96,39,21,97,160,868,0,,wagnemo01
200,Tyler Herro,24,MIA,SG,42,40,1407,324,17,0.547,0.086,0.197,0.166,0.098,0.453,0.587,0.49,0.467,0.375,0.417,0.811,0.008,4,0.12,0.475,1,0,735,0.441,132,333,0.396,192,402,0.478,0.531,95,111,0.856,19,203,222,188,30,3,93,63,875,0,,herroty01
201,Wendell Carter Jr.,24,ORL,C,55,48,1406,223,12.6,0.598,0.332,0.191,0.059,0.016,0.402,0.809,0.395,0.44,0.286,0.736,0.984,0.186,71,0.415,0.338,0,0,425,0.525,64,171,0.374,159,254,0.626,0.6,93,134,0.694,112,269,381,95,35,28,68,121,603,0,,cartewe01
202,Onyeka Okongwu,23,ATL,C,55,8,1405,223,6.8,0.811,0.559,0.233,0.014,0.005,0.189,0.74,0.529,0.4,1,0.775,1,0.244,78,0.739,0.431,1,0,365,0.611,23,69,0.333,200,296,0.676,0.642,92,116,0.793,145,231,376,74,26,60,45,162,561,0,,okongon01
203,Amen Thompson,21,HOU,SF,62,23,1388,239,6.9,0.87,0.518,0.251,0.054,0.047,0.13,0.714,0.464,0.292,0.333,0.481,0.875,0.217,88,0.293,0.118,1,0,446,0.536,8,58,0.138,231,388,0.595,0.545,106,155,0.684,148,261,409,163,78,38,90,141,592,1,,thompam01
204,Haywood Highsmith,27,MIA,PF,66,26,1366,153,16.6,0.416,0.191,0.179,0.027,0.018,0.584,0.667,0.475,0.667,0.167,0.636,0.987,0.055,16,0.417,0.438,0,0,329,0.465,76,192,0.396,77,137,0.562,0.581,23,36,0.639,65,145,210,70,53,30,34,117,405,0,,highsha01
205,Dyson Daniels,20,NOP,PG,61,16,1358,139,14.2,0.566,0.238,0.232,0.09,0.006,0.434,0.635,0.528,0.393,0.5,0.526,1,0.055,13,0.363,0.408,4,0,311,0.447,42,135,0.311,97,176,0.551,0.514,34,53,0.642,62,174,236,164,85,25,59,101,354,0,,daniedy01
206,Andre Drummond,30,CHI,C,79,10,1351,267,2.8,0.994,0.713,0.26,0.021,0,0.006,0.614,0.416,0.5,,0.558,,0.16,65,0,,3,0,480,0.556,0,3,0,267,477,0.56,0.556,129,218,0.592,265,443,708,37,73,48,81,140,663,0,,drumman01
207,Marcus Sasser,23,DET,PG,71,11,1351,219,17.7,0.531,0.088,0.164,0.166,0.113,0.469,0.644,0.452,0.482,0.362,0.318,0.644,0.002,1,0.154,0.432,0,0,512,0.428,90,240,0.375,129,272,0.474,0.516,58,66,0.879,11,114,125,236,44,12,90,103,586,0,,sassema01
208,Kris Murray,23,POR,SF,62,29,1348,145,14.1,0.5,0.287,0.18,0.03,0.003,0.5,0.657,0.333,0.455,0,0.5,0.98,0.06,21,0.475,0.299,1,0,366,0.396,49,183,0.268,96,183,0.525,0.463,37,56,0.661,85,139,224,80,53,21,55,92,376,0,,murrakr01
209,Miles McBride,23,NYK,PG,68,14,1328,205,17.8,0.414,0.172,0.081,0.099,0.062,0.586,0.679,0.351,0.444,0.357,0.375,0.899,0.035,12,0.395,0.457,3,0,454,0.452,109,266,0.41,96,188,0.511,0.572,43,50,0.86,31,69,100,114,50,7,30,108,562,0,,mcbrimi01
210,Jakob Poeltl,28,TOR,C,50,50,1319,248,3.9,1,0.545,0.349,0.106,0,0,0.786,0.5,0.5,,0.798,,0.074,26,,,0,0,378,0.656,0,0,,248,378,0.656,0.656,59,107,0.551,146,283,429,127,35,76,77,149,555,0,,poeltja01
211,Joel Embiid,29,PHI,C,39,39,1309,450,12.3,0.837,0.224,0.189,0.243,0.18,0.163,0.749,0.472,0.473,0.516,0.533,0.833,0.026,19,0.05,0.571,2,0,851,0.529,54,139,0.388,396,712,0.556,0.561,399,452,0.883,95,335,430,219,46,66,150,112,1353,2,AS,embiijo01
212,Jeff Green,37,HOU,PF,78,6,1307,167,14.5,0.563,0.199,0.26,0.077,0.027,0.437,0.767,0.453,0.5,0.1,0.737,0.943,0.068,20,0.45,0.347,4,0,366,0.456,53,160,0.331,114,206,0.553,0.529,122,149,0.819,46,132,178,70,16,31,46,100,509,0,,greenje02
213,Cameron Payne,29,2TM,PG,78,10,1304,208,17.9,0.445,0.141,0.173,0.094,0.037,0.555,0.485,0.47,0.533,0.444,0.452,0.788,0,0,0.127,0.265,1,0,481,0.432,104,267,0.39,104,214,0.486,0.541,58,67,0.866,21,96,117,205,42,11,66,126,578,0,,payneca01
214,Gary Harris,29,ORL,SG,54,27,1297,131,19.4,0.31,0.118,0.121,0.037,0.034,0.69,0.686,0.556,0.636,0.4,0.727,0.974,0.02,4,0.429,0.409,1,0,297,0.441,76,205,0.371,55,92,0.598,0.569,34,45,0.756,24,67,91,87,49,14,31,91,372,0,,harriga01
215,Dereck Lively II,19,DAL,C,55,42,1294,221,2.4,0.993,0.75,0.23,0.01,0.003,0.007,0.833,0.515,0,1,0.81,,0.527,141,1,0,0,0,296,0.747,0,2,0,221,294,0.752,0.747,41,81,0.506,135,243,378,60,36,77,50,144,483,0,ROY-6,livelde01
216,T.J. McConnell,31,IND,PG,71,4,1291,330,8.5,0.926,0.241,0.403,0.256,0.025,0.074,0.741,0.527,0.493,0.333,0.317,0.778,0,0,0.205,0.667,1,0,593,0.556,18,44,0.409,312,549,0.568,0.572,49,62,0.79,36,155,191,390,72,8,108,79,727,0,6MOY-7,mccontj01
217,Aaron Holiday,27,HOU,PG,78,1,1269,186,17.3,0.48,0.122,0.17,0.139,0.048,0.52,0.647,0.437,0.534,0.35,0.255,0.81,0.005,2,0.212,0.478,1,0,417,0.446,84,217,0.387,102,200,0.51,0.547,58,63,0.921,23,100,123,140,42,6,53,125,514,0,,holidaa01
218,Cedi Osman,28,SAS,SF,72,3,1269,184,16.7,0.424,0.221,0.151,0.034,0.018,0.576,0.776,0.448,0.154,0.571,0.724,0.965,0.005,2,0.235,0.462,0,0,384,0.479,86,221,0.389,98,163,0.601,0.591,35,52,0.673,25,155,180,119,36,11,47,107,489,0,,osmande01
219,Gradey Dick,20,TOR,SG,60,17,1268,189,17.2,0.458,0.18,0.13,0.072,0.076,0.542,0.638,0.431,0.344,0.412,0.842,0.977,0.034,13,0.378,0.462,3,0,445,0.425,88,241,0.365,101,204,0.495,0.524,44,51,0.863,27,105,132,68,34,2,50,87,510,0,,dickgr01
220,Naji Marshall,26,NOP,SF,66,1,1257,170,14.3,0.591,0.218,0.253,0.082,0.038,0.409,0.65,0.43,0.467,0.429,0.563,0.966,0.027,9,0.54,0.42,8,1,367,0.463,58,150,0.387,112,217,0.516,0.542,68,86,0.791,53,187,240,128,49,12,65,91,466,0,,marshna01
221,Kris Dunn,29,UTA,PG,66,32,1249,147,12.6,0.645,0.163,0.419,0.058,0.006,0.355,0.686,0.481,0.389,0.5,0.274,0.951,0.054,17,0.351,0.41,1,0,313,0.47,41,111,0.369,106,202,0.525,0.535,22,32,0.688,50,139,189,254,68,28,79,135,357,0,,dunnkr01
222,Gordon Hayward,33,2TM,SF,51,28,1245,187,12.1,0.777,0.236,0.238,0.176,0.127,0.223,0.674,0.406,0.451,0.294,0.607,0.946,0.052,19,0.311,0.429,0,0,403,0.464,37,90,0.411,150,313,0.479,0.51,89,120,0.742,38,143,181,158,40,13,66,67,500,0,,haywago01
223,GG Jackson II,19,MEM,PF,48,18,1233,241,15.7,0.492,0.263,0.149,0.039,0.041,0.508,0.676,0.333,0.227,0.261,0.576,0.863,0.076,38,0.224,0.484,1,0,563,0.428,102,286,0.357,139,277,0.502,0.519,115,153,0.752,53,143,196,59,28,24,65,64,699,0,,jacksgg01
224,Aaron Wiggins,25,OKC,SG,78,4,1228,212,10.7,0.666,0.422,0.186,0.04,0.019,0.334,0.698,0.457,0.467,0,0.667,0.968,0.042,12,0.413,0.404,0,0,377,0.562,62,126,0.492,150,251,0.598,0.645,56,71,0.789,60,126,186,86,56,19,56,91,542,0,,wiggiaa01
225,Larry Nance Jr.,31,NOP,C,61,0,1216,138,9.8,0.73,0.411,0.245,0.062,0.012,0.27,0.727,0.525,0.4,0.667,0.766,0.963,0.22,46,0.585,0.421,3,0,241,0.573,27,65,0.415,111,176,0.631,0.629,47,61,0.77,94,213,307,113,61,19,49,98,350,0,,nancela02
226,Duop Reath,27,POR,C,68,20,1214,230,14.5,0.509,0.263,0.218,0.022,0.006,0.491,0.687,0.413,0.545,0.333,0.697,0.989,0.052,23,0.18,0.455,0,0,499,0.461,88,245,0.359,142,254,0.559,0.549,69,93,0.742,93,157,250,67,33,38,52,161,617,0,,reathdu01
227,Alec Burks,32,2TM,SG,66,1,1212,210,18.2,0.42,0.086,0.132,0.125,0.077,0.58,0.469,0.307,0.38,0.295,0.5,0.782,0,0,0.282,0.366,0,0,569,0.369,124,330,0.376,86,239,0.36,0.478,145,167,0.868,24,126,150,88,28,12,48,75,689,0,,burksal01
228,Kevon Looney,27,GSW,C,74,36,1195,139,4.2,0.996,0.485,0.421,0.06,0.03,0.004,0.681,0.541,0.429,0.429,0.676,,0.12,24,0,,1,0,233,0.597,0,1,0,139,232,0.599,0.597,56,83,0.675,143,276,419,133,28,29,50,155,334,0,,looneke01
229,David Roddy,22,2TM,PF,65,13,1177,165,12.2,0.599,0.291,0.247,0.049,0.012,0.401,0.639,0.356,0.25,0,0.598,0.979,0.042,12,0.311,0.373,1,0,409,0.403,48,164,0.293,117,245,0.478,0.462,47,68,0.691,53,158,211,80,27,11,57,72,425,0,,roddyda01
230,Vasilije Micić,30,2TM,PG,60,21,1176,159,15.1,0.584,0.276,0.146,0.086,0.076,0.416,0.706,0.296,0.469,0.464,0.353,0.605,0.003,1,0.084,0.154,0,0,370,0.43,43,154,0.279,116,216,0.537,0.488,61,75,0.813,14,74,88,262,31,7,99,68,422,0,,micicva01
231,Patrick Williams,22,CHI,PF,43,30,1174,159,14.6,0.588,0.267,0.128,0.092,0.1,0.412,0.573,0.326,0.485,0.389,0.55,0.966,0.109,29,0.304,0.422,0,0,359,0.443,59,148,0.399,100,211,0.474,0.525,52,66,0.788,46,120,166,66,40,33,57,87,429,0,,willipa01
232,John Konchar,27,MEM,SF,55,23,1173,88,15.1,0.423,0.322,0.091,0.01,0,0.577,0.657,0.316,0,,0.68,1,0.014,3,0.492,0.271,0,0,208,0.423,38,120,0.317,50,88,0.568,0.514,21,25,0.84,72,185,257,110,51,51,46,76,235,0,,konchjo01
233,Drew Eubanks,26,PHO,C,75,6,1169,152,4.3,0.988,0.506,0.403,0.055,0.024,0.012,0.742,0.49,0.286,0,0.805,1,0.336,66,1,1,0,0,253,0.601,3,3,1,149,250,0.596,0.607,72,93,0.774,103,219,322,63,27,61,61,115,379,0,,eubandr01
234,Joe Ingles,36,ORL,SF,68,0,1169,99,19.9,0.291,0.079,0.198,0.009,0.004,0.709,0.778,0.311,0,1,0.448,0.929,0,0,0.199,0.469,2,0,227,0.436,70,161,0.435,29,66,0.439,0.59,28,34,0.824,18,124,142,203,43,5,67,88,296,0,,inglejo01
235,Anthony Black,20,ORL,PG,69,33,1164,115,13,0.619,0.308,0.162,0.085,0.065,0.381,0.684,0.4,0.286,0.25,0.731,0.919,0.109,25,0.5,0.404,0,0,247,0.466,37,94,0.394,78,153,0.51,0.54,49,80,0.613,33,106,139,91,35,21,56,110,316,0,,blackan01
236,Jordan Hawkins,21,NOP,SG,67,10,1160,174,20.3,0.346,0.083,0.081,0.075,0.107,0.654,0.526,0.351,0.353,0.408,0.738,0.991,0.024,7,0.245,0.466,2,0,456,0.382,109,298,0.366,65,158,0.411,0.501,67,80,0.838,29,119,148,70,19,7,40,72,524,0,,hawkijo01
237,Trey Lyles,28,SAC,PF,58,0,1158,143,18.8,0.318,0.178,0.1,0.022,0.019,0.682,0.754,0.375,0.571,0,0.729,1,0.025,6,0.384,0.369,3,0,321,0.445,84,219,0.384,59,102,0.578,0.576,49,70,0.7,61,196,257,72,17,19,38,86,419,0,,lylestr01
238,Moses Moody,21,GSW,SG,66,9,1156,194,15.2,0.524,0.179,0.24,0.064,0.04,0.476,0.733,0.475,0.481,0.353,0.582,0.903,0.05,17,0.27,0.315,0,0,420,0.462,72,200,0.36,122,220,0.555,0.548,73,93,0.785,65,131,196,57,42,24,44,90,533,0,,moodymo01
239,Jae Crowder,33,MIL,PF,50,25,1156,114,18.6,0.385,0.104,0.148,0.059,0.074,0.615,0.714,0.475,0.5,0.45,0.893,0.966,0,0,0.452,0.4,1,0,270,0.422,58,166,0.349,56,104,0.538,0.53,26,36,0.722,31,130,161,66,38,9,23,74,312,0,,crowdja01
240,Trayce Jackson-Davis,23,GSW,PF,68,16,1130,233,2.5,0.997,0.648,0.343,0.006,0,0.003,0.777,0.561,1,,0.751,,0.373,112,0,,0,0,332,0.702,0,1,0,233,331,0.704,0.702,74,132,0.561,135,206,341,82,29,76,49,108,540,0,,jackstr02
241,Malcolm Brogdon,31,POR,PG,39,25,1121,218,15.4,0.599,0.206,0.157,0.117,0.119,0.401,0.608,0.385,0.431,0.322,0.257,0.756,0.002,0,0.121,0.5,0,0,496,0.44,82,199,0.412,136,297,0.458,0.522,95,116,0.819,28,120,148,214,27,8,60,58,613,0,,brogdma01
242,Dean Wade,27,CLE,PF,54,32,1108,96,22.6,0.129,0.073,0.013,0.017,0.026,0.871,0.765,0,0.5,0.333,0.647,0.987,0.03,6,0.351,0.408,0,0,232,0.414,79,202,0.391,17,30,0.567,0.584,20,26,0.769,37,181,218,43,40,25,20,93,291,0,,wadede01
243,Josh Richardson,30,MIA,SG,43,6,1103,154,17.9,0.452,0.118,0.159,0.101,0.075,0.548,0.683,0.582,0.457,0.462,0.511,0.97,0.023,7,0.226,0.395,1,0,347,0.444,66,190,0.347,88,157,0.561,0.539,51,54,0.944,18,103,121,105,24,14,36,76,425,0,,richajo01
244,Davion Mitchell,25,SAC,PG,72,4,1101,146,16.2,0.511,0.155,0.192,0.09,0.074,0.489,0.76,0.5,0.31,0.458,0.472,0.965,0,0,0.291,0.457,0,0,323,0.452,57,158,0.361,89,165,0.539,0.54,30,42,0.714,19,76,95,134,17,3,43,85,379,0,,mitchda01
245,Dario Šarić,29,GSW,C,64,9,1098,181,16.1,0.492,0.152,0.263,0.041,0.036,0.508,0.797,0.48,0.375,0.357,0.654,1,0.003,1,0.117,0.261,0,0,388,0.466,74,197,0.376,107,191,0.56,0.562,79,93,0.849,73,210,283,144,31,10,78,112,515,0,,saricda01
246,James Wiseman,22,DET,C,63,6,1091,187,4.8,0.993,0.446,0.433,0.079,0.036,0.007,0.787,0.515,0.375,0.273,0.706,,0.282,81,0,,1,0,305,0.613,0,2,0,187,303,0.617,0.613,72,102,0.706,110,226,336,54,12,39,66,141,446,0,,wisemja01
247,Dante Exum,28,DAL,PG,55,17,1088,161,11.9,0.642,0.328,0.238,0.053,0.023,0.358,0.697,0.375,0.688,0.143,0.528,0.981,0.056,14,0.426,0.457,2,0,302,0.533,53,108,0.491,108,194,0.557,0.621,53,68,0.779,25,124,149,157,22,5,49,85,428,0,,exumda01
248,Sam Merrill,27,CLE,SG,61,1,1069,158,23.6,0.099,0.041,0.038,0.015,0.005,0.901,0.5,0.467,0,0,0.8,0.965,0,0,0.195,0.449,1,0,393,0.402,143,354,0.404,15,39,0.385,0.584,26,28,0.929,22,98,120,108,19,4,19,72,485,0,,merrisa01
249,Shaedon Sharpe,20,POR,SG,32,25,1059,176,11.5,0.678,0.37,0.198,0.044,0.065,0.322,0.672,0.299,0.267,0.318,0.426,0.875,0.083,25,0.349,0.342,1,0,434,0.406,60,180,0.333,116,254,0.457,0.475,98,119,0.824,42,118,160,94,28,12,72,88,510,0,,sharpsh01
250,Dennis Smith Jr.,26,BRK,PG,56,2,1059,147,14.9,0.585,0.235,0.168,0.099,0.083,0.415,0.569,0.37,0.372,0.417,0.466,0.717,0.071,26,0.156,0.393,3,0,338,0.435,32,109,0.294,115,229,0.502,0.482,43,58,0.741,50,114,164,203,68,12,68,121,369,0,,smithde03
251,Jordan Goodwin,25,2TM,PG,57,12,1055,141,14,0.631,0.215,0.204,0.136,0.076,0.369,0.561,0.308,0.365,0.345,0.293,0.857,0.008,1,0.248,0.343,0,0,382,0.369,42,141,0.298,99,241,0.411,0.424,44,59,0.746,88,165,253,155,48,18,56,76,368,0,,goodwjo01
252,Marvin Bagley III,24,2TM,C,50,25,1053,239,5.1,0.944,0.544,0.292,0.091,0.017,0.056,0.721,0.454,0.405,0.143,0.665,1,0.189,71,0.304,0.429,0,0,408,0.586,9,23,0.391,230,385,0.597,0.597,96,126,0.762,130,182,312,55,20,33,59,81,583,0,,baglema01
253,Torrey Craig,33,CHI,SF,53,14,1049,108,16.8,0.39,0.219,0.124,0.02,0.028,0.61,0.582,0.419,0.2,0.286,0.583,0.967,0.02,3,0.451,0.362,0,0,251,0.43,60,153,0.392,48,98,0.49,0.55,27,36,0.75,69,148,217,58,30,21,32,110,303,0,,craigto01
